Feature,Importance
Stoch_K,0.18615868416338685
Low,0.07755768623784914
High,0.07752970373168744
Stoch_D,0.0681237258889147
RSI,0.06750055486534055
Close,0.06401216229281567
Open,0.06338100250614698
ATR,0.06320912342470258
MA_5,0.06204780735019002
BB_upper,0.05868712512959672
MACD,0.056819178939321854
MACD_signal,0.0549614118527098
MA_20,0.05183475402373857
BB_lower,0.048177079593599154
OBV,0.0
